Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,Fz,Cz,Pz,status
1.0164395367051604e-14,1.3552527156068805e-14,6.776263578034403e-15,8.470329472543003e-15,8.470329472543003e-15,-8.470329472543003e-16,-7.623296525288703e-15,-2.371692252312041e-14,1.4399560103323106e-14,6.776263578034403e-15,-6.776263578034403e-15,-2.0328790734103208e-14,1.6940658945086007e-14,5.082197683525802e-15,1.2705494208814505e-14,3.7269449679189215e-14,1.3552527156068805e-14,8.470329472543003e-15,-1.4399560103323106e-14,0
10.020735827917985,10.112045914424028,9.716694040850127,9.67329077765591,9.12538279692766,8.604743240026142,11.606059066718927,8.788748885955775,11.084464641794906,10.901399436118407,9.054088470492347,11.048164785292219,7.502786672552009,10.846191654765416,12.806629554085314,11.319251974669267,9.431445073526247,10.733331796267793,9.710746315401682,0
18.23030998059844,18.227362670512207,17.809802728384103,17.382333903353395,16.439414901992226,15.500443871414543,20.992053984951834,15.932373413538238,20.039837643862118,19.86431464660481,16.536312851198645,19.868245652798773,13.327556184882758,19.50477240174736,23.085707731851556,20.623990339508392,17.092404659439396,19.497453543506754,17.44265760798357,0
23.28921420147919,22.892332916281543,23.077576669947895,21.71011743948965,20.632580946698234,19.475696122064473,26.53728396041446,20.242389624762673,25.30513017936921,25.45357385558917,21.28010703530533,24.847348456394418,16.284009671857767,24.431473482677983,28.986112257410273,26.431726486563356,21.685542889204328,24.858212303226903,21.793471746952747,0
24.68730275353253,23.601440374370142,25.062727912605762,22.18768080173441,21.272586662843995,20.178304058334714,27.667440799794658,21.323659329623403,26.31067765968335,27.116356787607383,22.835109237428387,25.435253723328294,16.03094209957791,25.181989276255443,29.836768271285464,28.187387809102237,22.743901242553232,26.31708101521129,22.35093166154114,0
22.825453557550137,20.87967641282159,24.120793689744012,19.370015635262792,18.879096404736693,18.169436404217393,24.953650142759844,19.630629084066022,23.570838472489402,25.264304042300505,21.533815394442545,22.233617535454897,13.134666817806698,22.482502162685908,26.26533263625372,26.34567963277878,20.7074276563377,24.396766759333524,19.758162405850133,0
18.81219906773072,16.035887524421202,21.22889247373099,14.579013582813088,14.687784371152832,14.666577021188624,19.84827212645502,16.238835606694455,18.433120378611225,21.05016098843101,18.308245331659155,16.71496650110969,8.818698232413004,17.904149076542687,19.910962755404906,22.13196285776321,16.709520365250544,20.399784193937748,15.423930582666562,0
14.078854962316408,10.705481457371963,17.63744246928383,9.433260813667314,10.222908348328737,11.097743256367897,14.188047059441406,12.447874010666824,12.608678489548492,15.955844026541934,14.358928296749626,10.69947569204583,4.530382993909064,13.287594813314765,12.87055501239763,17.100607125049514,12.182699900362381,15.959081233611059,11.011945026769158,0
9.938945096638461,6.336047025542418,14.477006846839947,5.326759093931099,6.81651805123149,8.623229729670753,9.623289816026755,9.354171040433886,7.638830297631234,11.325850655115408,10.780671722433478,5.769468793720748,1.467061354844885,10.118210353972259,7.054074279730672,12.6413459630484,8.411972178656177,12.52544028855548,7.887656753980717,0
7.221406463538389,3.772727485333852,12.438427565553333,3.024581603052445,5.222919306919325,7.782689125274649,7.148153903670044,7.532407886100217,4.465133515598737,7.9951423453278,8.257717408370885,2.81044160371276,0.21543248808220433,9.062401304972706,3.647401393719122,9.589796878824233,6.170498292697279,10.946922830598956,6.706498397605795,0
